train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entorpy_test,avg_effective_entropy_test
216000,0.05007711052894592,0.047980546951293945,"[1.6150083541870117, 2.6436593532562256, 16.522300720214844, 21.1224365234375]",21.1224365234375,0.495150625705719,0.049593807162005746,1.0428009033203125,"[0.0, 0.8431771993637085, 0.0664484053850174, 0.0903744176030159]","[0.003295796923339367, 0.8390745520591736, 0.0666985735297203, 0.09093109518289566]",0.0869627371430397,0.028264114633202553
224000,0.039975855499506,0.038188401609659195,"[2.4425230026245117, 19.913450241088867, 24.104753494262695, 29.007280349731445]",29.007280349731445,0.4950750172138214,0.049011569778043634,1.0423169136047363,"[0.824042797088623, 0.015325332060456276, 0.13802938163280487, 0.022602476179599762]","[0.8215397596359253, 0.01726408861577511, 0.1373455822467804, 0.023850545287132263]",0.08064644783735275,0.027249297127127647
232000,0.03827850520610809,0.03733236342668533,"[4.3386406898498535, 4.851125717163086, 36.63048553466797, 21.154388427734375]",36.63048553466797,0.4929097294807434,0.048394725460145734,1.06015944480896,"[0.40789374709129333, 0.4593839943408966, 0.11924149096012115, 0.013480786234140396]","[0.40657535195350647, 0.45960733294487, 0.11932850629091263, 0.014488808810710907]",0.11564934253692627,0.04031415656208992
240000,0.04861113429069519,0.04712919145822525,"[2.7793447971343994, 29.904207229614258, 1.2212209701538086, 24.701766967773438]",29.904207229614258,0.4956880509853363,0.04751826424737143,1.0378708839416504,"[0.8633807897567749, 0.026194844394922256, 0.0, 0.11042439192533493]","[0.8596173524856567, 0.026774441823363304, 0.002646304666996002, 0.11096186190843582]",0.07508289068937302,0.024476127699017525
248000,0.04863080754876137,0.04717976972460747,"[17.101173400878906, 3.0598926544189453, 5.3167266845703125, 32.35974884033203]",32.35974884033203,0.4942423701286316,0.04686371842766875,1.0499153137207031,"[0.24078620970249176, 0.6801093816757202, 0.0, 0.07910438627004623]","[0.23869085311889648, 0.6786335110664368, 0.002487070858478546, 0.0801885649561882]",0.10185180604457855,0.03376038372516632
256000,0.03746628388762474,0.03640381991863251,"[26.29648208618164, 23.37256622314453, 2.5772905349731445, 24.124637603759766]",26.29648208618164,0.4955102801322937,0.046053037162790494,1.038515567779541,"[0.14048971235752106, 0.012347790412604809, 0.8319336175918579, 0.01522885262966156]","[0.13979005813598633, 0.014378396794199944, 0.8295540809631348, 0.01627751812338829]",0.07433116436004639,0.025129392743110657
264000,0.03813701122999191,0.037024080753326416,"[27.978208541870117, 28.133455276489258, 27.950836181640625, 2.6038053035736084]",28.133455276489258,0.495351105928421,0.045456147629575124,1.0399394035339355,"[0.01412015501409769, 0.14553454518318176, 0.02662370167672634, 0.8137215375900269]","[0.015593201853334904, 0.14509695768356323, 0.027465317398309708, 0.811844527721405]",0.07578759640455246,0.02603176236152649
272000,0.03836726397275925,0.037072207778692245,"[5.639010429382324, 4.08772087097168, 34.485260009765625, 24.62731170654297]",34.485260009765625,0.4919058382511139,0.044965663251137426,1.0686653852462769,"[0.39387044310569763, 0.4238013029098511, 0.03601277247071266, 0.14631551504135132]","[0.39410561323165894, 0.42249104380607605, 0.03716444969177246, 0.14623887836933136]",0.12862513959407806,0.045041073113679886
280000,0.035329341888427734,0.03368399292230606,"[28.136058807373047, 29.561622619628906, 23.904298782348633, 2.546412944793701]",29.561622619628906,0.49512189626693726,0.04428377695729819,1.0417321920394897,"[0.1409522444009781, 0.01818210259079933, 0.024307025596499443, 0.8165585994720459]","[0.14040277898311615, 0.019235458225011826, 0.02619182877242565, 0.8141699433326721]",0.07954810559749603,0.027280166745185852
288000,0.037677038460969925,0.03674036264419556,"[29.003828048706055, 26.943038940429688, 36.89678955078125, 2.6520001888275146]",36.89678955078125,0.49423643946647644,0.04385646160468496,1.0494444370269775,"[0.06259424984455109, 0.1838243007659912, 0.012131775729358196, 0.7414497137069702]","[0.06354071944952011, 0.18329769372940063, 0.012941806577146053, 0.74021977186203]",0.09145518392324448,0.03190290555357933
296000,0.03908855468034744,0.038279615342617035,"[37.681907653808594, 18.762012481689453, 30.366893768310547, 2.9613568782806396]",37.681907653808594,0.49404534697532654,0.043323724892261266,1.0509121417999268,"[0.01802891120314598, 0.2085518091917038, 0.07561454176902771, 0.6978046894073486]","[0.018273720517754555, 0.2082439661026001, 0.07657752186059952, 0.6969048380851746]",0.09676706045866013,0.03394308686256409
304000,0.03521306440234184,0.033752333372831345,"[29.42778205871582, 23.34977149963379, 2.5561602115631104, 28.884553909301758]",29.42778205871582,0.49558430910110474,0.04265064279452287,1.0378683805465698,"[0.01616705022752285, 0.021861273795366287, 0.8168501853942871, 0.1451214998960495]","[0.0169634148478508, 0.023444799706339836, 0.8147834539413452, 0.1448083370923996]",0.072405144572258,0.024956371635198593
312000,0.04210824891924858,0.04122600331902504,"[2.1626057624816895, 2.829918384552002, 35.71283721923828, 28.49201202392578]",35.71283721923828,0.49520522356033325,0.04226439146176564,1.0410096645355225,"[0.0, 0.7560567259788513, 0.04628295823931694, 0.19766035676002502]","[0.0012870460050180554, 0.75479656457901, 0.04800902307033539, 0.1959073841571808]",0.08357633650302887,0.026545820757746696
320000,0.039070211350917816,0.03806925192475319,"[2.8844704627990723, 32.503395080566406, 1.4835580587387085, 45.141578674316406]",45.141578674316406,0.49622470140457153,0.04192063718518275,1.0324156284332275,"[0.8443262577056885, 0.139836385846138, 0.0, 0.0158374160528183]","[0.8426331281661987, 0.13897836208343506, 0.0017602735897526145, 0.016628293320536613]",0.06685496121644974,0.020906420424580574
328000,0.04009735956788063,0.03936368599534035,"[2.7585678100585938, 1.7069566249847412, 43.17090606689453, 27.463947296142578]",43.17090606689453,0.4961952269077301,0.041423522558451074,1.0324755907058716,"[0.8262543678283691, 0.0, 0.022810716181993484, 0.15093490481376648]","[0.824810802936554, 0.000762647541705519, 0.023726308718323708, 0.15070021152496338]",0.06505495309829712,0.021154001355171204
336000,0.03479822725057602,0.033802784979343414,"[30.308773040771484, 23.27926254272461, 2.570268154144287, 36.785884857177734]",36.785884857177734,0.49562349915504456,0.040874985261751665,1.0376101732254028,"[0.15307487547397614, 0.01467200554907322, 0.8123539686203003, 0.01989913359284401]","[0.1524067223072052, 0.01637694053351879, 0.8104576468467712, 0.02075875550508499]",0.0710032656788826,0.024526890367269516
344000,0.036675211042165756,0.035612113773822784,"[2.6037893295288086, 18.646316528320312, 27.182859420776367, 18.434492111206055]",27.182859420776367,0.49546292424201965,0.04026278138094395,1.039421558380127,"[0.83885258436203, 0.039726123213768005, 0.0144183449447155, 0.10700298845767975]","[0.8363473415374756, 0.04031422361731529, 0.016377976164221764, 0.10696039348840714]",0.07274471968412399,0.025942834094166756
352000,0.033682990819215775,0.032262977212667465,"[38.479591369628906, 2.5222678184509277, 24.621505737304688, 29.94843864440918]",38.479591369628906,0.4959699809551239,0.04004090201133726,1.034576654434204,"[0.016960181295871735, 0.8219290375709534, 0.011298859491944313, 0.14981187880039215]","[0.01770685240626335, 0.8199442028999329, 0.012834180146455765, 0.14951471984386444]",0.06629396229982376,0.022803593426942825
360000,0.03629405051469803,0.03567963093519211,"[6.531747341156006, 22.810327529907227, 7.128852367401123, 40.54482650756836]",40.54482650756836,0.4944891333580017,0.03965727768000458,1.0474499464035034,"[0.6961208581924438, 0.14090441167354584, 0.15376780927181244, 0.00920691154897213]","[0.6946259140968323, 0.14091593027114868, 0.1543615162372589, 0.01009661890566349]",0.0884195864200592,0.031237561255693436
368000,0.034487806260585785,0.03373321518301964,"[31.513954162597656, 2.6409895420074463, 44.01813507080078, 29.350601196289062]",44.01813507080078,0.49513253569602966,0.03930730294041062,1.0417201519012451,"[0.04499988257884979, 0.778693437576294, 0.013291879557073116, 0.16301476955413818]","[0.0458194725215435, 0.7774037718772888, 0.013983667828142643, 0.1627930998802185]",0.07813360542058945,0.02705802209675312
376000,0.037106528878211975,0.036300159990787506,"[1.5375057458877563, 38.513919830322266, 32.73979568481445, 2.8222968578338623]",38.513919830322266,0.495850145816803,0.03885067248163297,1.0353670120239258,"[0.0, 0.02613886632025242, 0.15772157907485962, 0.8161395192146301]","[0.0009500126470811665, 0.02718041092157364, 0.1567305624485016, 0.8151389956474304]",0.07090133428573608,0.022945072501897812
384000,0.03791533783078194,0.03708680346608162,"[34.27130126953125, 33.770668029785156, 3.0239076614379883, 2.301443099975586]",34.27130126953125,0.49564382433891296,0.03841436532312555,1.0373411178588867,"[0.0389089398086071, 0.17424514889717102, 0.7868459224700928, 0.0]","[0.03996831923723221, 0.17353780567646027, 0.785559356212616, 0.0009344412246719003]",0.07331467419862747,0.024212615564465523
392000,0.044706135988235474,0.04352670907974243,"[4.355940818786621, 1.8146449327468872, 34.117313385009766, 7.065849781036377]",34.117313385009766,0.49443551898002625,0.03804851682482092,1.047420859336853,"[0.6654483079910278, 0.0, 0.08644865453243256, 0.24810300767421722]","[0.6642493009567261, 0.0007936780457384884, 0.08691057562828064, 0.24804644286632538]",0.0923432782292366,0.03194865584373474
400000,0.032351911067962646,0.031373366713523865,"[36.51034927368164, 2.5969364643096924, 28.266448974609375, 25.316173553466797]",36.51034927368164,0.4959864318370819,0.037737545523117,1.034422516822815,"[0.015049098990857601, 0.8276154398918152, 0.13582582771778107, 0.021509511396288872]","[0.015725532546639442, 0.8256034255027771, 0.13538627326488495, 0.023284683004021645]",0.06590510904788971,0.022631769999861717
