train_size,test_rmse,train_rmse,expert_l2_device,max_expert_l2,gate_l2,bound,no_of_experts_chosen,avg_gate_weights_test,avg_raw_gate_weights_test,avg_raw_entropy_test,avg_effective_entropy_test
272000,0.10822969783227945,0.10556859026769731,"[17.881458282470703, 9.056173324584961, 5.477373123168945, 12.909294128417969]",17.881458282470703,0.9427717328071594,0.17630842969666874,1.254110294117647,"[0.09390188753604889, 0.2148789018392563, 0.532741129398346, 0.15847817063331604]","[0.09865584969520569, 0.21463921666145325, 0.5232717394828796, 0.16343311965465546]",0.39917999938964843,0.16100308837890626
280000,0.10795898653924975,0.10554107098243402,"[8.85904312133789, 9.565617561340332, 28.45653533935547, 5.534158706665039]",28.45653533935547,0.9511318802833557,0.174815543257017,1.2131285714285713,"[0.2798827886581421, 0.2282014638185501, 0.014801118522882462, 0.47711461782455444]","[0.27670586109161377, 0.22573763132095337, 0.024986717849969864, 0.4725697934627533]",0.3534574284362793,0.13785998069763183
288000,0.10968207097542677,0.10729353930866811,"[24.601890563964844, 5.447752952575684, 15.268235206604004, 7.943735599517822]",24.601890563964844,0.9500329494476318,0.17249769349354344,1.2212013888888889,"[0.006044535432010889, 0.5763056874275208, 0.13829079270362854, 0.2793591320514679]","[0.013106795959174633, 0.5662470459938049, 0.14342083036899567, 0.2772253155708313]",0.3537918121337891,0.14137901237487793
296000,0.10582691724857697,0.10360285162241911,"[7.38576602935791, 15.084148406982422, 5.521193027496338, 17.199295043945312]",17.199295043945312,0.9341755509376526,0.1698377599511843,1.2930472972972973,"[0.2716062068939209, 0.1255732625722885, 0.5386627912521362, 0.06415760517120361]","[0.26899710297584534, 0.13112762570381165, 0.5255296230316162, 0.07434558123350143]",0.43795525329589846,0.1846698565673828
304000,0.1104222775791074,0.10823209072985125,"[17.826263427734375, 5.446648597717285, 24.387720108032227, 7.920953273773193]",24.387720108032227,0.9508153796195984,0.16850328057080527,1.2190427631578948,"[0.11483482271432877, 0.5768944025039673, 0.005615568719804287, 0.30265527963638306]","[0.1206996813416481, 0.5661625266075134, 0.013983771204948425, 0.2991539537906647]",0.3536369418334961,0.13971617897033692
312000,0.10767399388931098,0.10533476770506817,"[19.72978973388672, 5.4921979904174805, 7.5607123374938965, 19.5599422454834]",19.72978973388672,0.9397614002227783,0.16624047776761564,1.266477564102564,"[0.07760781049728394, 0.5684807896614075, 0.299723744392395, 0.0541875883936882]","[0.08469868451356888, 0.5538760423660278, 0.296610563993454, 0.0648147389292717]",0.4060691207885742,0.16929234565734863
320000,0.11102776105505907,0.10870357308919806,"[14.489304542541504, 28.18772315979004, 9.210641860961914, 5.430117607116699]",28.18772315979004,0.9570578336715698,0.1650369864041281,1.185025,"[0.17040406167507172, 0.0008004828123375773, 0.26324397325515747, 0.5655515789985657]","[0.17286811769008636, 0.004884230904281139, 0.2627863585948944, 0.559461236000061]",0.3126470930480957,0.12015912925720215
328000,0.11186690176524972,0.10989908072076181,"[3.3632891178131104, 5.325653076171875, 8.517064094543457, 20.801372528076172]",20.801372528076172,0.9509708881378174,0.16285302687766176,1.2168719512195123,"[9.464110348744725e-07, 0.5981050729751587, 0.30563536286354065, 0.09625851362943649]","[0.015335272066295147, 0.5842288136482239, 0.30072104930877686, 0.09971469640731812]",0.3708218640136719,0.1390491830444336
336000,0.10905695606558201,0.10692060046834212,"[10.1524019241333, 26.92645835876465, 5.710948467254639, 8.274395942687988]",26.92645835876465,0.9570311903953552,0.16152384912401305,1.187875,"[0.24032670259475708, 0.0055685462430119514, 0.47650402784347534, 0.27760064601898193]","[0.239244282245636, 0.013001484796404839, 0.4706512987613678, 0.2771027982234955]",0.3200019494628906,0.12138374221801758
344000,0.11134796342738774,0.10935081566879899,"[5.395323276519775, 25.923879623413086, 17.73844337463379, 8.424059867858887]",25.923879623413086,0.956394612789154,0.1598308820263671,1.1884011627906976,"[0.5855664610862732, 0.0003321549156680703, 0.11558213829994202, 0.2985193431377411]","[0.5781949758529663, 0.003889932297170162, 0.11946994066238403, 0.29844510555267334]",0.31528930770874025,0.12271360221862793
352000,0.1083800005875577,0.10643142752169985,"[9.77590560913086, 9.643722534179688, 5.573307514190674, 30.388092041015625]",30.388092041015625,0.9581800103187561,0.15844167017903,1.1812869318181818,"[0.24834248423576355, 0.25458094477653503, 0.4929535984992981, 0.004122917540371418]","[0.2461874783039093, 0.2560296058654785, 0.48788124322891235, 0.009901988320052624]",0.3101698272705078,0.11863717155456543
360000,0.1063820946789594,0.1044993693988275,"[5.438399791717529, 9.623005867004395, 8.80939769744873, 31.514209747314453]",31.514209747314453,0.9556545615196228,0.1569179579504652,1.1915833333333334,"[0.4959593117237091, 0.24658887088298798, 0.2522636950016022, 0.005188166629523039]","[0.49242785573005676, 0.24657246470451355, 0.2499256283044815, 0.011074050329625607]",0.323809503326416,0.1248457096862793
368000,0.10875286883373919,0.10661741817993795,"[11.656244277954102, 5.459828853607178, 29.814252853393555, 9.85205078125]",29.814252853393555,0.9574485421180725,0.15537918831028494,1.1834402173913043,"[0.2063818871974945, 0.5400153994560242, 0.001761769293807447, 0.25184082984924316]","[0.2098395675420761, 0.5342184901237488, 0.006117202807217836, 0.24982479214668274]",0.3116216226196289,0.11932560852050782
376000,0.10809864752802979,0.10632389250356852,"[8.037065505981445, 5.724323749542236, 9.668819427490234, 28.467849731445312]",28.467849731445312,0.9571747183799744,0.15387786960724345,1.1875505319148936,"[0.27398917078971863, 0.46428608894348145, 0.2569735646247864, 0.0047512538731098175]","[0.2742587625980377, 0.4597329795360565, 0.2540297210216522, 0.01197863183915615]",0.3219440902709961,0.12187318504333496
384000,0.10253781316668223,0.10067078403764151,"[7.558952331542969, 5.427867412567139, 19.58075523376465, 16.5504150390625]",19.58075523376465,0.9358408451080322,0.15186641576423848,1.28625,"[0.2862456142902374, 0.5785236954689026, 0.05594033747911453, 0.07929036766290665]","[0.28410276770591736, 0.5611579418182373, 0.06576263159513474, 0.08897674083709717]",0.42658573333740235,0.18111811981201173
392000,0.11043019939961109,0.10884773653215371,"[8.173674583435059, 5.404303550720215, 23.202495574951172, 24.60444450378418]",24.60444450378418,0.9576925039291382,0.15095757347721528,1.1847933673469389,"[0.3575344979763031, 0.6133877635002136, 0.013481982052326202, 0.015595657750964165]","[0.3488890528678894, 0.6034684181213379, 0.0222829207777977, 0.025359701365232468]",0.3067923068237305,0.1198284497833252
400000,0.11649265677921863,0.11504611811349398,"[32.402286529541016, 9.911980628967285, 5.379570960998535, 2.8721580505371094]",32.402286529541016,0.9698348045349121,0.15003652575797233,1.12919,"[0.003894772147759795, 0.2943619191646576, 0.7017433047294617, 0.0]","[0.007891104556620121, 0.2893359959125519, 0.6963582038879395, 0.006414815783500671]",0.24099863220214843,0.0850492993927002
408000,0.10856644523448887,0.10674231326293662,"[17.940534591674805, 5.444149971008301, 7.971643924713135, 29.58388900756836]",29.58388900756836,0.9554479122161865,0.14852414617226048,1.1928897058823529,"[0.1063145250082016, 0.5933346748352051, 0.2995143234729767, 0.0008364671957679093]","[0.11102919280529022, 0.5846164226531982, 0.30037063360214233, 0.003983547445386648]",0.31826663452148435,0.12585323715209962
416000,0.10482239093185566,0.10311344544107116,"[8.164495468139648, 12.28453254699707, 5.464132308959961, 31.34214210510254]",31.34214210510254,0.9521130323410034,0.14730286135709747,1.206735576923077,"[0.27960407733917236, 0.175821915268898, 0.5409982204437256, 0.0035757184959948063]","[0.279066264629364, 0.17818540334701538, 0.5350920557975769, 0.007656289264559746]",0.3395899974060059,0.13385327255249024
424000,0.10451373627835633,0.10275846845348466,"[7.399794101715088, 17.304779052734375, 5.406735897064209, 21.583126068115234]",21.583126068115234,0.9410624504089355,0.1456010782304832,1.2602216981132075,"[0.30238765478134155, 0.11078625917434692, 0.555233895778656, 0.03159209340810776]","[0.3002626895904541, 0.11533790081739426, 0.5423228740692139, 0.042076654732227325]",0.40123758209228516,0.16586269203186035
432000,0.10367292011254516,0.10181486947298295,"[5.616724014282227, 13.925683975219727, 23.534116744995117, 7.07066011428833]",23.534116744995117,0.9495540857315063,0.14458169803601378,1.2195347222222221,"[0.4790690243244171, 0.20300140976905823, 0.011111611500382423, 0.306817889213562]","[0.47224971652030945, 0.20167197287082672, 0.01721055619418621, 0.3088676333427429]",0.3558224566650391,0.1421346142578125
440000,0.10095245607193151,0.09918700425899896,"[17.83951759338379, 7.952907085418701, 5.469894886016846, 15.161354064941406]",17.83951759338379,0.9370919466018677,0.14304020643598916,1.2799772727272727,"[0.0751541256904602, 0.2584715783596039, 0.5515162348747253, 0.11485805362462997]","[0.08247508108615875, 0.2583862245082855, 0.5388169288635254, 0.12032181024551392]",0.4230111517333984,0.17703158164978028
448000,0.1103133596327358,0.10853666685136724,"[22.32986831665039, 5.404618263244629, 20.619478225708008, 7.840163707733154]",22.32986831665039,0.9609870910644531,0.14234875000795014,1.1671852678571428,"[0.0002019571838900447, 0.5024008750915527, 0.17281194031238556, 0.3245851695537567]","[0.0037268304731696844, 0.4980688989162445, 0.1710333228111267, 0.3271709978580475]",0.2897538705444336,0.1097299388885498
456000,0.10477957472356479,0.10325464675665201,"[5.424272060394287, 35.82917022705078, 10.687915802001953, 8.449668884277344]",35.82917022705078,0.9555530548095703,0.14167702443977304,1.1906995614035087,"[0.5253771543502808, 0.0026089425664395094, 0.2153451144695282, 0.2566687762737274]","[0.5221832394599915, 0.006450260058045387, 0.21641269326210022, 0.2549538016319275]",0.3212488861083984,0.1245648477935791
464000,0.10653400022135255,0.10491197232022978,"[35.47261047363281, 7.909042835235596, 5.38689661026001, 15.920610427856445]",35.47261047363281,0.9532042741775513,0.14057486585440024,1.2014741379310345,"[0.0020781164057552814, 0.3008924126625061, 0.5641905069351196, 0.13283886015415192]","[0.004714181646704674, 0.3024313151836395, 0.5578598976135254, 0.1349947601556778]",0.32869928619384764,0.1308257586669922
472000,0.11005648608351626,0.10852232180440032,"[8.44337272644043, 5.323980331420898, 22.974021911621094, 13.243158340454102]",22.974021911621094,0.9582465887069702,0.13914640235658646,1.179677966101695,"[0.32432612776756287, 0.596606433391571, 0.07899226993322372, 7.523175736423582e-05]","[0.32304415106773376, 0.5908778309822083, 0.08263076841831207, 0.0034472548868507147]",0.30174296478271484,0.11776029945373535
480000,0.10451643200410358,0.1029170606711152,"[35.44736099243164, 8.630463600158691, 5.4407124519348145, 9.934741973876953]",35.44736099243164,0.9568047523498535,0.13853447193150206,1.18575,"[0.00268541113473475, 0.2546549141407013, 0.5161833763122559, 0.2264762669801712]","[0.007148766424506903, 0.25229325890541077, 0.5124942660331726, 0.2280636578798294]",0.3170523139953613,0.12169524421691895
488000,0.10489941202149826,0.10344962025194358,"[9.292292594909668, 35.39943313598633, 5.5023322105407715, 9.243142127990723]",35.39943313598633,0.9580735564231873,0.13754499667117184,1.181577868852459,"[0.24082641303539276, 0.0034199075307697058, 0.5014665126800537, 0.2542872130870819]","[0.23881244659423828, 0.009127524681389332, 0.49763405323028564, 0.2544260025024414]",0.31214951171875,0.11886809867858887
496000,0.10648015623628602,0.10499925482118547,"[7.1879167556762695, 20.47135353088379, 27.24350929260254, 5.423849105834961]",27.24350929260254,0.9565627574920654,0.13630998918330145,1.1904415322580646,"[0.3833485245704651, 0.06545718759298325, 0.006762390956282616, 0.5444318056106567]","[0.37785762548446655, 0.07187028974294662, 0.01375698484480381, 0.5365151762962341]",0.3125390493774414,0.12301529739379882
504000,0.10657308495716157,0.10495245498099398,"[19.647764205932617, 5.3902907371521, 7.541350841522217, 27.494108200073242]",27.494108200073242,0.955152153968811,0.1353565117280881,1.1967123015873016,"[0.11164480447769165, 0.5601702332496643, 0.32459086179733276, 0.003594093956053257]","[0.11569182574748993, 0.552687406539917, 0.3211752772331238, 0.0104454904794693]",0.3226384893798828,0.1271062000274658
512000,0.11328897804997369,0.1117467528873923,"[9.158669471740723, 33.64288330078125, 4.490548133850098, 5.37232780456543]",33.64288330078125,0.9691951274871826,0.1347226614120859,1.13174609375,"[0.31397026777267456, 0.004627293907105923, 0.0, 0.6814025044441223]","[0.3086431324481964, 0.009241015650331974, 0.006081265863031149, 0.6760345101356506]",0.24615497711181641,0.08692185668945313
520000,0.10106008072164947,0.09966272412809772,"[36.04265213012695, 5.341444492340088, 9.949013710021973, 9.183171272277832]",36.04265213012695,0.9469640254974365,0.1337033062513006,1.2292538461538463,"[0.015324767678976059, 0.5242835879325867, 0.22539091110229492, 0.2350006401538849]","[0.023320738226175308, 0.5210112929344177, 0.22432860732078552, 0.2313392162322998]",0.36785864227294923,0.1480448794555664
528000,0.10258262011984816,0.10107321443032244,"[18.201391220092773, 7.796469688415527, 23.37724494934082, 5.411633014678955]",23.37724494934082,0.9461127519607544,0.1324096991751171,1.2379507575757576,"[0.08946283906698227, 0.2788429260253906, 0.08674720674753189, 0.5449469089508057]","[0.09387476742267609, 0.279814213514328, 0.08894981443881989, 0.5373611450195312]",0.3743569738769531,0.15232690872192384
536000,0.10227208174684813,0.10073569182896214,"[5.397222518920898, 27.009403228759766, 15.721536636352539, 7.434451580047607]",27.009403228759766,0.9463005065917969,0.13167323198138473,1.2349589552238807,"[0.5447139739990234, 0.04917759820818901, 0.12494337558746338, 0.28116512298583984]","[0.538112461566925, 0.05127449333667755, 0.12785501778125763, 0.2827579081058502]",0.36738502868652345,0.15129437637329102
